outcome,action,TPR,FPR,ANS,eventTime
"red",SWITCH,15,91,0.2,8.962
"blue",WAIT,15,91,0.2,12.948
"blue",SWITCH,15,91,0.2,22.726
"red",WAIT,15,91,0.2,26.346
"blue",SWITCH,15,91,0.2,34.846
"blue",SWITCH,15,91,0.2,43.812
"blue",SWITCH,15,91,0.2,52.353
"blue",SWITCH,15,91,0.2,61.15
"blue",SWITCH,15,91,0.2,70.357
"blue",SWITCH,15,91,0.2,85.466
"blue",SWITCH,15,91,0.2,94.909
"red",WAIT,15,91,0.2,100.133
"blue",SWITCH,15,91,0.2,115.579
"red",WAIT,15,91,0.2,119.199
"red",WAIT,15,91,0.2,136.991
"blue",SWITCH,15,91,0.2,145.001
"blue",WAIT,15,91,0.2,183.289
"blue",SWITCH,15,91,0.2,199.631
"blue",SWITCH,15,91,0.2,214.534
"red",WAIT,15,91,0.2,219.035
"red",WAIT,15,91,0.2,264.996
"red",WAIT,15,91,0.2,279.246
"red",WAIT,15,91,0.2,294.989
"red",WAIT,15,91,0.2,310.105
"red",WAIT,15,91,0.2,362.019
"red",WAIT,15,91,0.2,396.086
"red",WAIT,15,91,0.2,483.133
"red",WAIT,15,91,0.2,647.978
"red",WAIT,15,91,0.2,662.358
"blue",WAIT,15,91,0.2,677.978
"blue",SWITCH,15,91,0.2,703.786
"red",WAIT,15,91,0.2,712.978
"red",WAIT,15,91,0.2,748.978
"red",WAIT,15,91,0.2,763.991
"red",WAIT,15,91,0.2,817.367
"red",WAIT,15,91,0.2,869.042
"red",WAIT,15,91,0.2,898.27
"red",WAIT,15,91,0.2,930.406
"red",WAIT,15,91,0.2,978.158
"red",WAIT,15,91,0.2,997.19
"red",WAIT,15,91,0.2,1012.039
"red",WAIT,15,91,0.2,1049.978
"red",WAIT,15,91,0.2,1085.023
"red",WAIT,15,91,0.2,1120.316
"red",WAIT,15,91,0.2,1134.342
"blue",WAIT,15,91,0.2,1149.978
"red",WAIT,15,91,0.2,1199.087
