outcome,action,TPR,FPR,egs,red_reward,blue_reward,time,cued_switch,uncued_switch
"red","WAIT",91,15,0.4,4,-4,11.028,1,0
"red","SWITCH",91,15,0.4,4,-4,44.248,2,0
"blue","WAIT",91,15,0.4,4,-4,47.556,2,1
"red","WAIT",91,15,0.4,4,-4,57.978,3,1
"red","WAIT",91,15,0.4,4,-4,76.998,4,1
"blue","SWITCH",91,15,0.4,4,-4,89.287,4,2
"blue","SWITCH",91,15,0.4,4,-4,111.451,4,3
"red","WAIT",91,15,0.4,4,-4,126.006,5,3
"red","WAIT",91,15,0.4,4,-4,142.986,6,3
"red","WAIT",91,15,0.4,4,-4,176.978,7,3
"red","WAIT",91,15,0.4,4,-4,194.036,8,3
"red","WAIT",91,15,0.4,4,-4,211.045,9,3
"blue","SWITCH",91,15,0.4,4,-4,259.879,9,4
"red","WAIT",91,15,0.4,4,-4,279.142,10,4
"red","WAIT",91,15,0.4,4,-4,311.295,11,4
"red","WAIT",91,15,0.4,4,-4,324.978,12,4
"red","WAIT",91,15,0.4,4,-4,343.988,13,4
"red","WAIT",91,15,0.4,4,-4,357.978,14,4
"red","WAIT",91,15,0.4,4,-4,375.197,15,4
"blue","SWITCH",91,15,0.4,4,-4,406.566,15,5
"red","WAIT",91,15,0.4,4,-4,410.73,15,6
"blue","WAIT",91,15,0.4,4,-4,426.356,16,6
"blue","SWITCH",91,15,0.4,4,-4,457.393,16,7
"blue","SWITCH",91,15,0.4,4,-4,464.981,16,8
"red","SWITCH",91,15,0.4,4,-4,479.074,16,9
"red","WAIT",91,15,0.4,4,-4,509.333,17,9
"blue","WAIT",91,15,0.4,4,-4,541.343,18,9
"red","SWITCH",91,15,0.4,4,-4,577.907,18,10
"red","WAIT",91,15,0.4,4,-4,592.038,19,10
"red","WAIT",91,15,0.4,4,-4,610.084,20,10
"blue","SWITCH",91,15,0.4,4,-4,626.722,20,11
"blue","SWITCH",91,15,0.4,4,-4,635.076,20,12
"blue","SWITCH",91,15,0.4,4,-4,642.757,20,13
"red","WAIT",91,15,0.4,4,-4,660.017,21,13
"blue","SWITCH",91,15,0.4,4,-4,689.73,21,14
"blue","SWITCH",91,15,0.4,4,-4,701.697,21,15
"red","WAIT",91,15,0.4,4,-4,705.861,21,16
"blue","SWITCH",91,15,0.4,4,-4,714.393,21,17
"red","WAIT",91,15,0.4,4,-4,720.036,22,17
"blue","SWITCH",91,15,0.4,4,-4,737.492,22,18
"red","WAIT",91,15,0.4,4,-4,753.078,23,18
"blue","SWITCH",91,15,0.4,4,-4,767.296,23,19
"blue","WAIT",91,15,0.4,4,-4,785.334,24,19
"red","WAIT",91,15,0.4,4,-4,803.355,25,19
"red","WAIT",91,15,0.4,4,-4,818.978,26,19
"blue","SWITCH",91,15,0.4,4,-4,827.879,26,20
"blue","SWITCH",91,15,0.4,4,-4,845.347,26,21
"blue","SWITCH",91,15,0.4,4,-4,853.349,26,22
"red","WAIT",91,15,0.4,4,-4,857.513,26,23
"red","WAIT",91,15,0.4,4,-4,870.978,27,23
"red","WAIT",91,15,0.4,4,-4,887.25,28,23
"blue","SWITCH",91,15,0.4,4,-4,899.153,28,24
"blue","SWITCH",91,15,0.4,4,-4,914.549,28,25
"red","WAIT",91,15,0.4,4,-4,918.713,28,26
"blue","WAIT",91,15,0.4,4,-4,949.581,29,26
"red","WAIT",91,15,0.4,4,-4,963.061,30,26
"blue","SWITCH",91,15,0.4,4,-4,985.83,30,27
"blue","WAIT",91,15,0.4,4,-4,1038.306,31,27
"blue","SWITCH",91,15,0.4,4,-4,1052.734,31,28
"red","WAIT",91,15,0.4,4,-4,1056.978,32,28
"blue","SWITCH",91,15,0.4,4,-4,1073.096,32,29
"blue","SWITCH",91,15,0.4,4,-4,1110.236,32,30
"blue","SWITCH",91,15,0.4,4,-4,1128.963,32,31
"blue","SWITCH",91,15,0.4,4,-4,1136.104,32,32
