outcome,action,TPR,FPR,egs,red_reward,blue_reward,time,cued_switch,uncued_switch
red,WAIT,85,10,0.4,4,-4,8.047,1,0
red,WAIT,85,10,0.4,4,-4,25.978,2,0
red,WAIT,85,10,0.4,4,-4,59.171,3,0
red,WAIT,85,10,0.4,4,-4,76.438,4,0
red,WAIT,85,10,0.4,4,-4,90.995,5,0
blue,WAIT,85,10,0.4,4,-4,108.322,6,0
red,WAIT,85,10,0.4,4,-4,124.983,7,0
blue,WAIT,85,10,0.4,4,-4,152.426,8,0
red,WAIT,85,10,0.4,4,-4,171.012,9,0
red,WAIT,85,10,0.4,4,-4,185.978,10,0
red,WAIT,85,10,0.4,4,-4,248.026,11,0
red,WAIT,85,10,0.4,4,-4,265.978,12,0
blue,WAIT,85,10,0.4,4,-4,316.3,13,0
blue,SWITCH,85,10,0.4,4,-4,362.795,13,1
red,WAIT,85,10,0.4,4,-4,366.959,13,2
blue,WAIT,85,10,0.4,4,-4,380.3,14,2
blue,SWITCH,85,10,0.4,4,-4,388.16,14,3
red,SWITCH,85,10,0.4,4,-4,400.516,14,4
red,WAIT,85,10,0.4,4,-4,418.981,15,4
red,WAIT,85,10,0.4,4,-4,498.047,16,4
blue,SWITCH,85,10,0.4,4,-4,503.934,16,5
red,WAIT,85,10,0.4,4,-4,531.978,17,5
red,WAIT,85,10,0.4,4,-4,548.978,18,5
red,WAIT,85,10,0.4,4,-4,566.31,19,5
red,WAIT,85,10,0.4,4,-4,612.978,20,5
red,WAIT,85,10,0.4,4,-4,645.978,21,5
blue,WAIT,85,10,0.4,4,-4,679.337,22,5
red,WAIT,85,10,0.4,4,-4,711.978,23,5
red,WAIT,85,10,0.4,4,-4,758.028,24,5
red,WAIT,85,10,0.4,4,-4,793.978,25,5
red,WAIT,85,10,0.4,4,-4,809.978,26,5
red,WAIT,85,10,0.4,4,-4,822.978,27,5
blue,WAIT,85,10,0.4,4,-4,867.48,28,5
blue,SWITCH,85,10,0.4,4,-4,875.097,28,6
red,WAIT,85,10,0.4,4,-4,915.978,29,6
red,WAIT,85,10,0.4,4,-4,932.987,30,6
blue,SWITCH,85,10,0.4,4,-4,940.068,30,7
red,WAIT,85,10,0.4,4,-4,968.009,31,7
red,WAIT,85,10,0.4,4,-4,983.12,32,7
red,WAIT,85,10,0.4,4,-4,1014.978,33,7
red,WAIT,85,10,0.4,4,-4,1043.984,34,7
red,WAIT,85,10,0.4,4,-4,1073.978,35,7
red,WAIT,85,10,0.4,4,-4,1105.09,36,7
red,WAIT,85,10,0.4,4,-4,1249.085,37,7
red,WAIT,85,10,0.4,4,-4,1285.989,38,7
red,WAIT,85,10,0.4,4,-4,1317.023,39,7
red,WAIT,85,10,0.4,4,-4,1333.978,40,7
red,WAIT,85,10,0.4,4,-4,1365.982,41,7
red,WAIT,85,10,0.4,4,-4,1400.986,42,7
red,WAIT,85,10,0.4,4,-4,1522.999,43,7
blue,SWITCH,85,10,0.4,4,-4,1535.271,43,8
red,WAIT,85,10,0.4,4,-4,1557.004,44,8
red,WAIT,85,10,0.4,4,-4,1575.042,45,8
red,WAIT,85,10,0.4,4,-4,1592.982,46,8
red,WAIT,85,10,0.4,4,-4,1629.153,47,8
red,WAIT,85,10,0.4,4,-4,1676.978,48,8
blue,SWITCH,85,10,0.4,4,-4,1692.066,48,9
