outcome,action,TPR,FPR,egs,red_reward,blue_reward,time,cued_switch,uncued_switch
"red","WAIT",91,15,0.3,1,-1,28.102,1,0
"red","WAIT",91,15,0.3,1,-1,43.1,2,0
"red","WAIT",91,15,0.3,1,-1,104.978,3,0
"red","WAIT",91,15,0.3,1,-1,121.993,4,0
"red","WAIT",91,15,0.3,1,-1,192.1,5,0
"red","WAIT",91,15,0.3,1,-1,205.978,6,0
"red","WAIT",91,15,0.3,1,-1,223.141,7,0
"red","WAIT",91,15,0.3,1,-1,258.019,8,0
"red","WAIT",91,15,0.3,1,-1,273.128,9,0
"blue","WAIT",91,15,0.3,1,-1,290.408,10,0
"red","WAIT",91,15,0.3,1,-1,310.978,11,0
"red","WAIT",91,15,0.3,1,-1,324.978,12,0
"red","WAIT",91,15,0.3,1,-1,378.978,13,0
"red","WAIT",91,15,0.3,1,-1,414.054,14,0
"blue","WAIT",91,15,0.3,1,-1,431.3,15,0
"red","WAIT",91,15,0.3,1,-1,464.991,16,0
"red","WAIT",91,15,0.3,1,-1,479.984,17,0
"red","WAIT",91,15,0.3,1,-1,493.296,18,0
"red","WAIT",91,15,0.3,1,-1,508.036,19,0
"red","WAIT",91,15,0.3,1,-1,558.99,20,0
"red","WAIT",91,15,0.3,1,-1,607.163,21,0
"red","WAIT",91,15,0.3,1,-1,622.14,22,0
"red","WAIT",91,15,0.3,1,-1,639.222,23,0
"red","WAIT",91,15,0.3,1,-1,656.396,24,0
"red","WAIT",91,15,0.3,1,-1,669.978,25,0
"red","WAIT",91,15,0.3,1,-1,683.978,26,0
"red","WAIT",91,15,0.3,1,-1,700.978,27,0
"red","WAIT",91,15,0.3,1,-1,716.978,28,0
"blue","WAIT",91,15,0.3,1,-1,748.301,29,0
"red","WAIT",91,15,0.3,1,-1,811.067,30,0
"red","WAIT",91,15,0.3,1,-1,856.148,31,0
"red","WAIT",91,15,0.3,1,-1,876.193,32,0
"blue","SWITCH",91,15,0.3,1,-1,898.03,32,1
"blue","SWITCH",91,15,0.3,1,-1,924.426,32,2
"blue","WAIT",91,15,0.3,1,-1,953.344,33,2
"red","WAIT",91,15,0.3,1,-1,982.978,34,2
"red","WAIT",91,15,0.3,1,-1,998.266,35,2
"blue","WAIT",91,15,0.3,1,-1,1014.509,36,2
"red","WAIT",91,15,0.3,1,-1,1031.978,37,2
"red","WAIT",91,15,0.3,1,-1,1116.194,38,2
"red","WAIT",91,15,0.3,1,-1,1149.201,39,2
"red","WAIT",91,15,0.3,1,-1,1184.046,40,2
"blue","WAIT",91,15,0.3,1,-1,1199.397,41,2
"red","WAIT",91,15,0.3,1,-1,1234.978,42,2
"red","WAIT",91,15,0.3,1,-1,1252.066,43,2
"red","WAIT",91,15,0.3,1,-1,1303.978,44,2
"red","WAIT",91,15,0.3,1,-1,1316.978,45,2
"red","WAIT",91,15,0.3,1,-1,1335.347,46,2
"blue","WAIT",91,15,0.3,1,-1,1351.315,47,2
"red","WAIT",91,15,0.3,1,-1,1381.01,48,2
"red","WAIT",91,15,0.3,1,-1,1412.978,49,2
"red","WAIT",91,15,0.3,1,-1,1428.034,50,2
"red","WAIT",91,15,0.3,1,-1,1464.144,51,2
"red","WAIT",91,15,0.3,1,-1,1509.978,52,2
"blue","WAIT",91,15,0.3,1,-1,1525.463,53,2
"blue","WAIT",91,15,0.3,1,-1,1540.324,54,2
"red","WAIT",91,15,0.3,1,-1,1554.978,55,2
"red","WAIT",91,15,0.3,1,-1,1572.099,56,2
"red","WAIT",91,15,0.3,1,-1,1589.107,57,2
"red","WAIT",91,15,0.3,1,-1,1602.991,58,2
"red","WAIT",91,15,0.3,1,-1,1636.033,59,2
"blue","SWITCH",91,15,0.3,1,-1,1643.895,59,3
"red","WAIT",91,15,0.3,1,-1,1656.044,60,3
"red","WAIT",91,15,0.3,1,-1,1672.978,61,3
"red","WAIT",91,15,0.3,1,-1,1709.272,62,3
"red","WAIT",91,15,0.3,1,-1,1740.979,63,3
"red","WAIT",91,15,0.3,1,-1,1773.249,64,3
"red","WAIT",91,15,0.3,1,-1,1808.103,65,3
"red","WAIT",91,15,0.3,1,-1,1821.234,66,3
"red","WAIT",91,15,0.3,1,-1,1838.23,67,3
"red","WAIT",91,15,0.3,1,-1,1858.197,68,3
"red","WAIT",91,15,0.3,1,-1,1978.039,69,3
"red","WAIT",91,15,0.3,1,-1,1995.153,70,3
"red","WAIT",91,15,0.3,1,-1,2013.13,71,3
"blue","WAIT",91,15,0.3,1,-1,2044.3,72,3
"red","WAIT",91,15,0.3,1,-1,2062.004,73,3
"blue","WAIT",91,15,0.3,1,-1,2079.3,74,3
"red","WAIT",91,15,0.3,1,-1,2111.978,75,3
"red","WAIT",91,15,0.3,1,-1,2162.978,76,3
"red","WAIT",91,15,0.3,1,-1,25.232,1,0
"red","WAIT",91,15,0.3,1,-1,45.127,2,0
"blue","WAIT",91,15,0.3,1,-1,60.3,3,0
"red","WAIT",91,15,0.3,1,-1,77.978,4,0
"red","WAIT",91,15,0.3,1,-1,92.055,5,0
"red","WAIT",91,15,0.3,1,-1,125.273,6,0
"red","WAIT",91,15,0.3,1,-1,142.166,7,0
"red","WAIT",91,15,0.3,1,-1,170.978,8,0
"red","WAIT",91,15,0.3,1,-1,207.003,9,0
"red","WAIT",91,15,0.3,1,-1,219.984,10,0
"red","WAIT",91,15,0.3,1,-1,255.978,11,0
"red","WAIT",91,15,0.3,1,-1,272.978,12,0
"red","WAIT",91,15,0.3,1,-1,338.981,13,0
"red","WAIT",91,15,0.3,1,-1,421.187,14,0
"blue","WAIT",91,15,0.3,1,-1,439.478,15,0
"red","WAIT",91,15,0.3,1,-1,455.981,16,0
"blue","SWITCH",91,15,0.3,1,-1,466.352,16,1
