outcome,action,TPR,FPR,egs,red_reward,blue_reward,time,cued_switch,uncued_switch
"red","WAIT",91,15,0.4,4,-4,39.134,1,0
"red","WAIT",91,15,0.4,4,-4,70.137,2,0
"red","WAIT",91,15,0.4,4,-4,135.978,3,0
"blue","SWITCH",91,15,0.4,4,-4,147.464,3,1
"red","WAIT",91,15,0.4,4,-4,154.131,4,1
"blue","SWITCH",91,15,0.4,4,-4,161.217,4,2
"red","WAIT",91,15,0.4,4,-4,173.978,5,2
"red","WAIT",91,15,0.4,4,-4,213.978,6,2
"red","WAIT",91,15,0.4,4,-4,232.062,7,2
"red","WAIT",91,15,0.4,4,-4,266.978,8,2
"red","WAIT",91,15,0.4,4,-4,301.978,9,2
"red","WAIT",91,15,0.4,4,-4,318.029,10,2
"red","WAIT",91,15,0.4,4,-4,369.01,11,2
"blue","WAIT",91,15,0.4,4,-4,418.619,12,2
"red","WAIT",91,15,0.4,4,-4,450.978,13,2
"red","WAIT",91,15,0.4,4,-4,483.087,14,2
"blue","WAIT",91,15,0.4,4,-4,501.335,15,2
"red","WAIT",91,15,0.4,4,-4,552.019,16,2
"red","WAIT",91,15,0.4,4,-4,569.208,17,2
"red","WAIT",91,15,0.4,4,-4,614.978,18,2
"red","WAIT",91,15,0.4,4,-4,644.978,19,2
"red","WAIT",91,15,0.4,4,-4,678.978,20,2
"red","WAIT",91,15,0.4,4,-4,694.99,21,2
"red","WAIT",91,15,0.4,4,-4,714.07,22,2
"red","WAIT",91,15,0.4,4,-4,765.978,23,2
"red","WAIT",91,15,0.4,4,-4,819.978,24,2
"red","WAIT",91,15,0.4,4,-4,887.978,25,2
"red","WAIT",91,15,0.4,4,-4,919.993,26,2
"red","WAIT",91,15,0.4,4,-4,938.978,27,2
"blue","WAIT",91,15,0.4,4,-4,955.467,28,2
"red","WAIT",91,15,0.4,4,-4,989.078,29,2
"red","WAIT",91,15,0.4,4,-4,1007.027,30,2
"red","WAIT",91,15,0.4,4,-4,1055.023,31,2
"red","WAIT",91,15,0.4,4,-4,1087.105,32,2
"red","WAIT",91,15,0.4,4,-4,1116.978,33,2
"red","WAIT",91,15,0.4,4,-4,1134.21,34,2
"blue","WAIT",91,15,0.4,4,-4,1149.326,35,2
"blue","WAIT",91,15,0.4,4,-4,1167.33,36,2
"blue","WAIT",91,15,0.4,4,-4,1236.39,37,2
"red","WAIT",91,15,0.4,4,-4,1253.096,38,2
"red","WAIT",91,15,0.4,4,-4,1361.218,39,2
"red","WAIT",91,15,0.4,4,-4,1393.032,40,2
"blue","WAIT",91,15,0.4,4,-4,1424.379,41,2
"red","WAIT",91,15,0.4,4,-4,1457.303,42,2
"red","WAIT",91,15,0.4,4,-4,1472.01,43,2
"red","WAIT",91,15,0.4,4,-4,1487.167,44,2
"red","WAIT",91,15,0.4,4,-4,1534.011,45,2
"red","WAIT",91,15,0.4,4,-4,1547.027,46,2
"blue","WAIT",91,15,0.4,4,-4,1563.3,47,2
"red","WAIT",91,15,0.4,4,-4,1599.978,48,2
"red","WAIT",91,15,0.4,4,-4,1634.077,49,2
"red","WAIT",91,15,0.4,4,-4,1651.159,50,2
"red","WAIT",91,15,0.4,4,-4,1667.978,51,2
"red","WAIT",91,15,0.4,4,-4,1754.053,52,2
"red","WAIT",91,15,0.4,4,-4,1767.023,53,2
"red","WAIT",91,15,0.4,4,-4,1784.978,54,2
"blue","WAIT",91,15,0.4,4,-4,1800.565,55,2
"red","WAIT",91,15,0.4,4,-4,1833.993,56,2
"blue","WAIT",91,15,0.4,4,-4,1850.3,57,2
"red","WAIT",91,15,0.4,4,-4,1867.145,58,2
"red","WAIT",91,15,0.4,4,-4,1885.978,59,2
"red","WAIT",91,15,0.4,4,-4,1922.233,60,2
"red","WAIT",91,15,0.4,4,-4,1939.978,61,2
"red","WAIT",91,15,0.4,4,-4,1972.2,62,2
"red","WAIT",91,15,0.4,4,-4,2016.069,63,2
"red","WAIT",91,15,0.4,4,-4,2033.002,64,2
"red","WAIT",91,15,0.4,4,-4,2085.978,65,2
"red","WAIT",91,15,0.4,4,-4,2120.978,66,2
"blue","WAIT",91,15,0.4,4,-4,2174.3,67,2
"red","WAIT",91,15,0.4,4,-4,2192.098,68,2
"red","WAIT",91,15,0.4,4,-4,2224.301,69,2
"red","WAIT",91,15,0.4,4,-4,2239.022,70,2
"red","WAIT",91,15,0.4,4,-4,2252.978,71,2
"red","WAIT",91,15,0.4,4,-4,2267.129,72,2
"red","WAIT",91,15,0.4,4,-4,2284.004,73,2
"red","WAIT",91,15,0.4,4,-4,8.658,1,0
"red","WAIT",91,15,0.4,4,-4,43.002,2,0
"red","WAIT",91,15,0.4,4,-4,56.303,3,0
"red","SWITCH",91,15,0.4,4,-4,87.386,3,1
"red","SWITCH",91,15,0.4,4,-4,105.474,3,2
"red","WAIT",91,15,0.4,4,-4,133.127,4,2
"red","WAIT",91,15,0.4,4,-4,204.14,5,2
"red","WAIT",91,15,0.4,4,-4,253.109,6,2
"red","WAIT",91,15,0.4,4,-4,288.05,7,2
"red","WAIT",91,15,0.4,4,-4,301.978,8,2
"red","WAIT",91,15,0.4,4,-4,316.041,9,2
"blue","WAIT",91,15,0.4,4,-4,344.631,10,2
"blue","WAIT",91,15,0.4,4,-4,362.328,11,2
"red","WAIT",91,15,0.4,4,-4,443.978,12,2
"red","WAIT",91,15,0.4,4,-4,475.039,13,2
"blue","WAIT",91,15,0.4,4,-4,502.622,14,2
"red","WAIT",91,15,0.4,4,-4,516.192,15,2
"red","WAIT",91,15,0.4,4,-4,545.111,16,2
"red","WAIT",91,15,0.4,4,-4,557.998,17,2
"red","WAIT",91,15,0.4,4,-4,574.978,18,2
"red","WAIT",91,15,0.4,4,-4,623.438,19,2
"red","WAIT",91,15,0.4,4,-4,639.104,20,2
"red","WAIT",91,15,0.4,4,-4,655.284,21,2
"red","WAIT",91,15,0.4,4,-4,685.978,22,2
"red","WAIT",91,15,0.4,4,-4,792.025,23,2
"red","WAIT",91,15,0.4,4,-4,852.186,24,2
"red","WAIT",91,15,0.4,4,-4,1039.035,25,2
"blue","WAIT",91,15,0.4,4,-4,1070.47,26,2
"red","WAIT",91,15,0.4,4,-4,1087.02,27,2
"red","WAIT",91,15,0.4,4,-4,1118.978,28,2
"red","WAIT",91,15,0.4,4,-4,1135.978,29,2
"red","WAIT",91,15,0.4,4,-4,1153.978,30,2
"red","WAIT",91,15,0.4,4,-4,1173.197,31,2
"red","WAIT",91,15,0.4,4,-4,1190.124,32,2
"red","WAIT",91,15,0.4,4,-4,1209.056,33,2
"red","WAIT",91,15,0.4,4,-4,1223.978,34,2
"red","WAIT",91,15,0.4,4,-4,1241.978,35,2
"red","WAIT",91,15,0.4,4,-4,1276.221,36,2
"red","WAIT",91,15,0.4,4,-4,1292.039,37,2
"red","WAIT",91,15,0.4,4,-4,1344.015,38,2
"red","WAIT",91,15,0.4,4,-4,1363.986,39,2
"red","WAIT",91,15,0.4,4,-4,1380.07,40,2
"red","WAIT",91,15,0.4,4,-4,1434.145,41,2
